Jacksonville State def. Jackson State - S1W10, 10, 0
Jacksonville def. Savannah State - S1W10, 25, 22
Marist def. Lafayette - S1W10, 23, 10
McNeese State def. Sam Houston State - S1W10, 21, 10
Mississippi Valley State def. Southeast Missouri - S1W10, 28, 24
Montana State def. Northern Colorado - S1W10, 28, 10
Morehead State def. Tennessee State - S1W10, 35, 14
Morgan State def. Robert Morris - S1W10, 27, 14
North Carolina A&T def. Wofford - S1W10, 35, 28
South Dakota def. North Dakota State - S1W10, 14, 0
Sacramento State def. Northern Arizona - S1W10, 51, 16
Northern Iowa def. South Dakota State - S1W10, 35, 21
Southeastern Louisiana def. Northwestern State - S1W10, 34, 31
Sacred Heart def. Stony Brook - S1W10, 42, 40
The Citadel def. Stephen F. Austin - S1W10, 54, 45
UC Davis def. Weber State - S1W10, 45, 12
Villanova def. Youngstown State - S1W10, 31, 6
William & Mary def. VMI - S1W10, 17, 14
Alabama A&M def. Kennesaw State - S1W11, 21, 14
Stony Brook def. Albany - S1W11, 24, 3
Alcorn State def. Jackson State - S1W11, 15, 7
Bethune-Cookman def. Mississippi Valley State - S1W11, 24, 17
Brown def. Dartmouth - S1W11, 59, 35
Dayton def. Valparaiso - S1W11, 44, 14
Lehigh def. Bryant - S1W11, 16, 8
Marist def. Bucknell - S1W11, 14, 7
Butler def. Southern Illinois - S1W11, 37, 13
Cal Poly def. UC Davis - S1W11, 37, 7
Campbell def. Mercer - S1W11, 45, 28
Morehead State def. Central Arkansas - S1W11, 32, 31
Rhode Island def. Central Connecticut - S1W11, 7, 0
Charleston Southern def. Wagner - S1W11, 21, 17
Jacksonville def. Chattanooga - S1W11, 31, 14
Yale def. Columbia - S1W11, 52, 17
Harvard def. Cornell - S1W11, 28, 24
Hampton def. Davidson - S1W11, 21, 14
Robert Morris def. Delaware - S1W11, 8, 0
Delaware State def. Villanova - S1W11, 37, 14
Drake def. North Dakota - S1W11, 45, 24
Duquesne def. Youngstown State - S1W11, 8, 3
Jacksonville State def. East Tennessee State - S1W11, 35, 24
Eastern Illinois def. Illinois State - S1W11, 28, 21
Eastern Kentucky def. Sam Houston State - S1W11, 38, 10
Idaho def. Eastern Washington - S1W11, 26, 7
Elon def. Wofford - S1W11, 7, 6
Furman def. North Carolina A&T - S1W11, 35, 26
Presbyterian def. Gardner-Webb - S1W11, 47, 44
Grambling State def. Lamar - S1W11, 35, 28
Sacred Heart def. Holy Cross - S1W11, 24, 17
Monmouth def. Howard - S1W11, 9, 7
Northern Colorado def. Idaho State - S1W11, 17, 12
Incarnate Word def. Southeastern Louisiana - S1W11, 33, 30
James Madison def. VMI - S1W11, 13, 0
St. Francis def. Lafayette - S1W11, 56, 24
Maine def. New Hampshire - S1W11, 49, 30
McNeese State def. Northwestern State - S1W11, 29, 17
Southeast Missouri def. Missouri State - S1W11, 31, 30
Montana State def. Portland State - S1W11, 32, 17
Weber State def. Montana - S1W11, 14, 13
Morgan State def. Richmond - S1W11, 16, 7
Princeton def. Murray State - S1W11, 42, 20
Nicholls State def. Stephen F. Austin - S1W11, 42, 38
Northern Iowa def. North Dakota State - S1W11, 34, 17
Southern Utah def. Northern Arizona - S1W11, 35, 31
Sacramento State def. San Diego - S1W11, 59, 35
Stetson def. Savannah State - S1W11, 7, 0
Western Illinois def. South Dakota State - S1W11, 14, 7
Tennessee Tech def. Tennessee State - S1W11, 8, 0
The Citadel def. Western Carolina - S1W11, 23, 3
